,Year,Company,Paid up equity capital (net of forfeited equity capital),Reserves and funds,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Equity,Retained profits/losses during the year,Net working capital,Market Capitalisation,Operating expenses of non-finance cos
120,3/31/2016,Adani Power Ltd.,3333.94,5690.26,13398.96,13302.42,48852.59,48852.59,18536.64,96.54,12706.99,1869.33,-3236.09,9024.2,96.54,-11414.07,104889.45,9334.86
121,3/31/2017,Adani Power Ltd.,3856.94,816.38,11603.33,17657.67,44880.2,44880.2,16533.38,-6054.34,10873.81,659.43,-554.79,4673.32,-6054.34,-12953.94,99991.14,9603.65
122,3/31/2018,Adani Power Ltd.,3856.94,5682.19,10088.71,10181.01,19904.08,19904.08,7866.05,-23.77,8124.07,-332.53,-3565.04,9539.13,-23.77,-7287.58,100974.66,7300.79
123,3/31/2019,Adani Power Ltd.,3856.94,5270.89,3471.63,3626.52,29113.91,29113.91,3372.06,-225.23,2406.2,-167.13,-8285.43,9127.83,-225.23,-3339.52,95941.36,2335.35
124,3/31/2020,Adani Power Ltd.,3856.94,3318.44,1920.11,3260.67,22705.92,22705.92,3419.09,-1340.56,1006.57,94.66,6815.68,7175.38,-1340.56,-3035.5,97966.25,1017.99
125,3/31/2021,Adani Power Ltd.,3856.94,2440.48,587.53,1086.27,24471.33,24471.33,6164.41,-498.74,448.29,-288.17,390.1,6297.42,-498.74,-5350.89,95420.67,408.68
126,3/31/2012,Adani Total Gas Ltd.,256.74,129.08,1049.72,1010.39,1065.96,1065.96,129.61,41.06,1044.97,105.69,-112.81,385.82000000000005,41.06,20.68,274974.52,925.07
127,3/31/2013,Adani Total Gas Ltd.,256.74,185.37,1411.85,1358.69,1197.67,1197.67,228.44,56.29,1408.64,154.04,-127.92,442.11,56.29,-63.6,263355.02,1243.64
128,3/31/2014,Adani Total Gas Ltd.,256.74,233.08,1631.6,1589.11,1190.47,1190.47,164.21,47.71,1629.27,159.79,-43.77,489.82000000000005,47.71,-15.07,257064.11,1463.41
129,3/31/2015,Adani Total Gas Ltd.,256.74,328.19,1429.28,1327.37,1257.98,1257.98,176.45,96.07,1423.78,228.06,-38.38,584.9300000000001,96.07,9.8,261287.38,1187.18
